url,title,city,district,ward_commune,street,area,bed,toilet,legal_status,furniture,price
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-nguyen-van-troi-phuong-8-13-prj-kingston-residence/-ban-ch-cao-cap-phu-nhuan-dt-71m2-2pn-4-5-ty-lh-0907-709-711-pr32816299,"Cần bán CH cao cấp Kingston Nguyễn Văn Trỗi, Phú Nhuận, DT 80m2, 2PN, 4.8 tỷ. LH 0907 709 ***",,,,,80 m²,2,2,Hợp đồng mua bán,Cơ bản,"4,8"
https://batdongsan.com.vn//ban-nha-rieng-duong-nguyen-quy-yem-phuong-an-lac-6/-moi-o-ngay-q-binh-tan-36m2-4ty-pr38684430,Nhà mới ở ngay Nguyễn Quý Yêm - Q. Bình Tân 36m2 (4 tỷ),Hồ Chí Minh,Bình Tân,Phường An Lạc,Đường Nguyễn Quý Yêm,36 m²,3,2,Giấy tờ chính chủ công chứng ngay,Tặng hết nội thất dính tường,4
https://batdongsan.com.vn//ban-nha-rieng-duong-3-2-2-phuong-12-5/ban-dep-d-3-2-p12-quan-10-gia-4ty150-62-4m2-4-8x13-gan-benh-vien-tham-my-emcas-pr38375605,"Bán nhà đẹp Đ. 3/2, P12, Quận 10 giá 3tỷ340/62,4m2(4,8x13) gần bệnh viện thẩm mỹ EMCAS",,,,,"62,4 m²",4,3,Sổ đỏ/ Sổ hồng,Đầy đủ,"3,34"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-an-phu/b-ch-1pn-gia-3-5-ty-2pn-gia-4-5-ty-3pn-gia-6-8-ty-so-hong-nha-moi-pr38742727,"Bán CH Masteri An Phú, (1PN, giá 3,5 tỷ)(2PN, giá 4,5 tỷ)(3PN, giá 6,8 tỷ). Sổ hồng, nhà mới",,,,,54 m²,1,1,Sổ đỏ/ Sổ hồng,Đầy đủ,"3,5"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-nguyen-thi-dinh-phuong-an-phu-prj-can-ho-dlusso/ban-ch-2pn-2wc-dien-tich-72m2-4-6-ty-da-co-so-hong-lh-0938488148-pr34077515,"Bán CH D'Lusso 2PN, 2WC diện tích 72m2, 3,7 tỷ, đã có sổ hồng, LH 0938 488 ***",Hồ Chí Minh,Quận 2,Phường An Phú,Đường Nguyễn Thị Định,72 m²,2,2,Sổ hồng,Đầy đủ,"3,7"
https://batdongsan.com.vn//ban-can-ho-chung-cu-pho-phan-dang-luu-phuong-1-22-prj-cao-oc-satra-eximland/chuyen-ban-phu-nhuan-2pn-4-75-ty-3pn-6-2-ty-lh-0901-326-118-pr37544947,"Chuyên bán căn hộ Satra Eximland, Phú Nhuận, 2PN - 4.7 tỷ, 3PN - 6,2 tỷ. LH 0901 326 ***",Hồ Chí Minh,Phú Nhuận,Phường 1,Phố Phan Đăng Lưu,88 m²,2,2,Sổ đỏ/ Sổ hồng,Đầy đủ,"4,7"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-nguyen-thi-dinh-phuong-an-phu-prj-can-ho-dlusso/mot-duy-nhat-55m2-1pn-1-gia-tot-nhat-du-chenh-lech-thap-lh-0938-488-148-pr30386788,"Một căn duy nhất 55m2 D'Lusso 1PN + 1 giá tốt nhất dự án, chênh lệch thấp, LH 0938 488 ***",Hồ Chí Minh,Quận 2,Phường An Phú,Đường Nguyễn Thị Định,"54,9 m²",2,1,Sổ đỏ/ Sổ hồng,Đầy đủ,"3,1"
https://batdongsan.com.vn//ban-nha-rieng-duong-18b-phuong-binh-tri-dong-a/ban-hem-xe-tai-p-btda-q-tan-dt-4x13-kc-5-tang-xay-moi-100-gia-5-ty-pr38743235,"Bán nhà hẻm xe tải đường 18B, P.BTĐA, Q.Bình Tân. DT:4x13m. KC: 5 tầng. Nhà xây mới 100%. Giá 5 tỷ",Hồ Chí Minh,Bình Tân,Phường Bình Trị Đông A,Đường 18B,52 m²,4,4,Sổ đỏ/ Sổ hồng,Đầy đủ,5
https://batdongsan.com.vn//ban-nha-rieng-duong-nguyen-hao-vinh-phuong-tan-quy-2/ban-65-m2-tai-quan-phu-thanh-pho-ho-chi-minh-pr37430538,"Bán nhà riêng 60m2 tại quận Tân Phú, thành phố Hồ Chí Minh",,,,,60 m²,4,4,Sổ đỏ/ Sổ hồng,Đầy đủ.,"4,9"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/ban-2pn-2wc-view-trieu-do-chi-4-3x-ty-all-in-pr38678917,Bán lỗ căn hộ 2pn 2wc Masteri Thảo Điền view triệu đô chỉ 4.3x tỷ all in,,,,,65 m²,2,2,Sổ đỏ/ Sổ hồng,Đầy đủ.,"4,3"
